person_age,person_income,loan_amnt,loan_int_rate
22,200000,9000,6.17
144,200000,6000,11.86
25,200000,18000,16.32
25,200000,12000,10.38
25,200000,23050,14.35
26,66996,25000,15.21
23,67000,25000,7.9
24,67000,25000,10.99
24,68000,25000,14.09
25,69000,25000,17.49
25,200000,12000,11.48
26,188000,20000,17.74
26,200000,3000,13.92
25,69996,25000,15.21
22,14400,4000,10.99
24,70000,25000,11.86
24,14400,6000,7.49
24,56100,25000,16.49
25,66000,25000,15.33
26,66000,25000,11.58
25,14400,5375,5.79
25,72612,25000,13.11
23,74000,25000,10.36
25,75000,25000,10.36
21,192000,20000,6.54
25,191000,10000,12.53
24,75000,25000,10.25
22,71000,25000,15.95
26,190000,20000,12.18
23,189996,24000,11.83
23,78000,25000,10.62
23,78504,25000,10.74
25,186000,10000,10.25
25,185000,15000,15.27
24,62050,25000,15.33
23,79416,25000,15.21
21,14400,6250,14.72
24,79631,25000,15.7
24,79632,25000,13.35
24,80000,25000,6.62
26,80000,25000,13.61
22,185000,25000,11.36
26,185000,5000,7.68
24,184992,22000,14.46
23,184000,2500,11.83
24,172000,20000,13.47
24,183000,20000,11.49
25,182952,15000,6.03
23,74004,25000,16.35
25,81000,25000,7.29
23,81600,25000,11.36
24,82000,25000,10.25
24,83000,25000,11.12
24,83000,25000,12.92
24,180000,18000,18.64
23,180000,28000,7.51
23,14400,4000,16.7
22,14400,2100,11.14
22,84500,25000,18.3
24,85000,25000,10.62
24,180000,14000,11.99
26,180000,12000,9.63
25,142800,10000,18.25
24,87000,25000,14.84
24,75000,25000,14.7
23,76000,25000,16.02
23,66215,25000,15.37
25,90000,25000,10.99
21,15000,6200,7.9
26,180000,25000,10.99
24,180000,21000,11.48
25,180000,20000,14.26
26,180000,10000,8.0
25,180000,9950,11.26
23,78000,25000,16.32
25,66300,25000,17.93
23,90000,25000,11.36
24,79000,25000,14.96
24,91800,25000,13.43
25,92000,25000,12.69
24,92000,25000,12.73
23,93600,25000,15.21
23,15000,1750,12.68
23,70550,25000,19.04
25,83800,25000,15.95
26,175000,2600,8.9
25,175000,8000,7.9
23,175000,21000,11.99
23,15000,4000,13.98
23,15000,4600,10.99
22,88000,25000,15.58
25,74800,25000,10.99
25,88000,25000,14.96
25,15000,1750,15.31
26,88000,25000,15.65
25,100000,25000,9.33
23,15000,3600,13.47
24,102400,25000,10.36
24,92000,25000,16.77
23,93000,25000,14.59
22,175000,3500,11.91
23,175000,7200,8.38
25,174708,9000,10.59
25,174000,8800,14.27
26,174000,12000,12.53
25,162000,25000,16.0
26,173467,10000,11.71
21,15000,3175,11.54
25,96000,25000,15.68
21,15120,1500,10.59
24,97908,25000,12.61
23,15204,2800,8.49
25,159600,30000,17.27
24,171500,18000,8.9
25,170004,10000,11.11
24,158004,25000,14.59
26,170000,13000,12.42
24,110000,25000,15.7
22,15360,2500,12.53
25,134300,5000,16.49
25,170000,20000,7.49
22,100580,25000,14.96
25,113000,25000,12.73
24,120000,25000,10.65
25,120000,25000,10.74
23,120000,25000,9.99
24,91800,25000,15.33
21,15600,1000,7.29
26,108000,25000,15.05
26,129996,25000,10.75
23,130000,25000,16.02
23,130000,25000,11.49
25,170000,20000,12.53
26,170000,12000,13.57
22,169000,14000,11.14
26,168750,24250,12.87
23,168600,20000,11.58
24,168288,1800,11.12
25,168000,35000,10.65
24,133300,25000,10.37
24,15600,3300,6.39
24,134000,25000,16.07
25,134000,25000,10.62
25,15600,3200,18.09
25,135000,25000,11.36
26,135660,25000,12.53
25,145000,25000,9.99
23,150000,25000,10.36
23,165000,9600,5.99
22,153000,24000,15.62
24,165000,20000,10.37
25,165000,25000,19.74
21,165000,20000,6.91
23,16000,6000,7.9
23,16000,2275,13.06
23,16000,2000,6.39
23,148000,25000,14.93
23,16000,5600,12.84
24,16020,3625,17.14
22,16094,5500,7.14
25,175000,25000,8.9
22,16200,2000,12.42
24,185000,25000,12.68
25,162000,25000,11.03
26,161000,30000,7.9
22,160000,35000,10.65
25,225000,25000,11.86
25,16400,5000,8.94
23,16500,4375,9.63
25,49500,24750,14.22
23,60000,24750,9.33
24,84200,24500,13.85
22,16800,2000,10.65
24,92000,24500,11.46
23,160000,35000,7.66
24,160000,12000,16.77
25,160000,12000,9.63
26,160000,25000,12.23
25,125800,10000,14.09
25,54000,24250,13.98
23,62500,24250,10.62
25,68400,24250,17.56
26,56045,24250,14.96
22,74000,24250,15.65
24,65453,24250,15.7
24,89908,24250,12.53
26,78000,24250,17.56
23,100000,24250,12.87
23,103000,24250,15.7
25,160000,15000,11.14
24,160000,20000,16.0
23,160000,25000,15.65
21,160000,15250,15.31
25,160000,20000,13.47
22,16800,4750,13.85
21,16800,6000,10.39
25,115200,24250,11.36
23,144000,24250,11.83
23,287000,24250,12.53
22,108000,24150,14.96
22,43000,24000,13.85
23,47004,24000,11.58
24,48000,24000,16.29
21,44964,24000,16.29
24,47000,24000,17.8
22,17400,1000,11.36
22,49000,24000,17.56
26,60000,24000,7.9
25,60000,24000,10.99
22,60000,24000,7.29
21,60000,24000,10.75
26,62004,24000,7.9
22,62400,24000,14.84
23,59000,24000,19.69
24,60000,24000,14.96
25,66143,24000,6.99
22,62250,24000,16.45
24,70000,24000,10.99
23,74000,24000,10.99
22,18000,3000,7.9
22,75000,24000,12.69
24,75000,24000,10.37
26,69000,24000,15.83
23,78000,24000,13.92
24,80000,24000,10.25
22,18000,3500,7.49
23,18000,4000,5.99
23,74700,24000,12.92
26,88596,24000,11.58
25,95000,24000,8.9
22,83000,24000,19.69
25,95000,24000,6.54
21,18000,4900,14.54
26,100000,24000,12.73
24,110000,24000,15.62
24,18000,6250,6.54
26,103872,24000,20.03
22,120000,24000,9.91
24,120000,24000,12.69
26,108000,24000,20.16
24,124080,24000,16.49
23,18000,2500,15.95
24,130000,24000,11.49
25,135000,24000,10.99
24,135000,24000,13.79
23,114750,24000,20.03
23,150000,24000,7.49
23,138000,24000,16.0
24,18000,13000,7.88
21,18000,6250,10.62
26,155000,24000,10.99
26,148000,24000,18.3
21,18000,2500,11.36
23,120000,23750,13.47
24,54996,23600,11.89
24,18000,10000,12.18
25,102000,23600,13.49
23,75000,23575,14.5
22,18000,5400,15.31
22,66960,23400,7.49
23,60000,23000,12.18
24,18000,1200,11.34
25,63208,23000,9.91
24,65000,23000,11.99
23,68000,23000,9.62
22,18000,3000,9.96
24,88000,23000,14.54
22,58600,22750,11.36
23,70000,22500,14.27
24,18287,3000,11.99
26,69846,22500,18.99
24,73000,22400,16.7
24,18500,5000,9.32
23,35000,22250,12.69
25,43000,22000,13.11
25,52000,22000,10.74
21,18701,4200,14.11
22,57000,22000,9.63
25,58000,22000,14.65
23,60000,22000,10.25
24,60000,22000,14.26
25,18840,3000,9.91
26,56000,22000,17.19
22,70000,22000,11.36
23,74064,22000,10.59
24,76597,22000,9.25
22,19000,3625,8.49
26,77000,22000,6.54
21,19000,6000,8.49
26,82600,22000,12.69
24,19000,7400,13.85
25,19000,4000,7.4
23,84000,22000,11.71
25,77650,22000,11.48
25,82000,22000,17.51
21,19012,3500,14.61
23,99996,22000,7.88
22,19200,4950,11.71
25,57000,21700,11.99
24,54000,21600,13.49
23,56000,21600,21.21
26,63000,21600,14.35
22,82000,21600,13.61
22,78000,21600,11.26
22,19200,2400,10.59
24,112140,21600,7.9
25,19200,3000,11.99
24,59000,21500,16.89
24,70000,21500,9.99
24,116000,21500,15.33
25,60000,21450,7.29
22,31000,21250,12.42
25,47052,21250,10.99
25,51060,21250,6.91
22,19200,5000,14.17
22,53000,21250,10.25
24,56000,21250,15.95
24,65000,21250,15.95
21,35000,21000,12.53
22,19200,1400,14.91
26,40000,21000,6.54
26,42000,21000,17.26
23,63000,21000,11.36
26,19200,4000,7.51
22,59000,21000,10.71
22,70500,21000,13.98
26,65219,21000,14.09
22,75000,21000,10.0
22,19200,5000,15.33
25,62047,21000,16.32
24,79000,21000,7.9
23,80000,21000,11.99
24,84000,21000,10.75
26,85000,21000,13.92
22,93000,21000,9.91
26,81000,21000,16.95
26,97000,21000,7.9
25,100000,21000,16.49
26,19200,7500,11.97
26,125000,21000,8.9
25,125000,21000,12.99
23,82000,20900,12.69
21,19500,15000,9.64
26,50000,20500,7.49
23,70000,20500,13.16
22,19800,2100,8.38
123,80004,20400,10.25
23,54000,20375,7.49
26,26000,20050,9.76
24,33000,20000,10.99
23,20000,5000,11.71
22,20000,9250,10.65
24,35364,20000,12.53
25,38000,20000,14.59
23,32000,20000,12.61
25,38004,20000,13.11
23,20000,6400,10.65
25,38556,20000,11.22
23,32900,20000,16.0
25,34000,20000,8.88
24,40000,20000,12.53
26,20000,4800,5.99
25,42000,20000,13.47
22,42224,20000,6.99
25,20000,5650,15.99
22,37212,20000,16.69
25,38000,20000,11.11
22,45000,20000,7.9
23,45000,20000,10.25
23,20000,1200,7.49
22,45000,20000,13.92
24,39000,20000,14.74
24,46500,20000,10.62
22,48000,20000,10.65
22,42000,20000,12.99
22,48500,20000,11.36
22,20000,7500,5.79
23,49400,20000,6.54
25,20000,4000,5.79
25,50000,20000,7.49
25,50000,20000,13.43
22,50000,20000,13.22
22,20000,5000,14.72
22,44000,20000,15.68
25,50950,20000,11.48
24,51000,20000,10.38
22,51000,20000,12.53
22,51000,20000,13.47
24,51500,20000,12.21
25,51996,20000,10.99
25,52000,20000,11.36
22,46000,20000,16.0
26,20000,1500,7.74
24,52000,20000,15.65
25,46000,20000,11.78
22,47000,20000,16.77
22,54000,20000,9.91
23,48000,20000,15.65
23,48000,20000,14.96
23,54000,20000,11.83
24,48912,20000,11.66
26,54996,20000,12.18
24,55000,20000,6.91
25,55000,20000,6.91
26,49000,20000,19.79
25,55000,20000,9.88
22,20000,16600,9.76
23,55000,20000,12.53
23,20004,7125,6.99
23,57000,20000,16.89
22,51012,20000,17.49
23,20004,2500,16.82
22,58000,20000,13.11
23,58800,20000,7.66
26,59000,20000,6.17
26,53000,20000,16.35
23,60000,20000,7.9
24,54000,20000,16.49
26,20280,7000,8.0
24,60000,20000,10.99
24,20352,7750,6.91
25,54000,20000,8.88
23,54000,20000,14.84
23,54000,20000,11.12
22,60000,20000,7.88
22,20400,6000,15.99
24,20400,5500,10.99
25,54000,20000,15.65
24,54000,20000,17.04
23,60000,20000,12.21
21,20400,1275,15.23
25,54000,20000,14.11
24,60000,20000,11.14
21,20400,2400,11.49
24,60000,20000,13.87
26,60000,20000,10.08
23,54504,20000,16.7
24,55000,20000,18.64
24,61000,20000,12.18
25,62000,20000,6.54
24,56000,20000,14.61
21,56000,20000,17.39
24,62400,20000,11.12
25,62400,20000,11.48
25,63000,20000,12.42
26,58000,20000,10.25
23,65000,20000,10.65
24,20800,5000,16.29
23,65000,20000,10.37
23,65000,20000,11.49
25,20868,5375,13.49
23,59000,20000,12.29
21,21000,3500,17.27
26,65004,20000,11.99
25,59004,20000,14.84
23,59004,20000,10.83
23,65500,20000,13.22
22,66996,20000,12.18
23,67000,20000,11.11
24,67000,20000,13.48
26,68000,20000,10.75
25,68000,20000,12.53
24,62400,20000,14.84
23,69500,20000,17.74
25,70000,20000,9.99
22,70000,20000,6.91
25,71004,20000,14.09
22,21000,3000,11.49
23,71004,20000,14.09
23,55392,20000,15.2
24,72000,20000,11.83
24,21000,6000,12.21
23,66000,20000,14.11
22,66000,20000,14.42
24,72000,20000,14.74
24,74000,20000,12.69
22,21120,1625,16.89
25,21221,8500,9.63
24,75000,20000,8.88
26,75000,20000,6.91
25,75000,20000,10.38
22,69000,20000,10.99
26,21600,5200,12.42
24,69000,20000,14.82
23,75600,20000,16.32
23,59497,20000,16.0
23,76000,20000,10.37
26,70000,20000,13.16
24,70000,20000,14.88
22,77004,20000,13.98
26,71004,20000,13.36
24,21600,8000,5.42
26,78000,20000,13.85
23,61200,20000,11.14
21,21600,3800,5.99
23,78000,20000,11.58
23,78500,20000,13.85
23,79000,20000,16.89
23,80000,20000,7.9
23,21600,6000,12.68
22,62900,20000,14.91
24,80000,20000,13.06
25,80000,20000,8.88
23,21600,2000,6.17
22,80000,20000,13.98
22,21600,8500,6.54
26,62900,20000,13.85
26,21600,1000,10.36
25,74004,20000,15.95
25,80004,20000,14.26
23,80700,20000,11.71
22,81000,20000,13.49
24,21600,2000,14.84
23,76042,20000,15.05
22,76654,20000,13.79
24,83500,20000,13.48
23,84000,20000,11.11
25,84000,20000,13.92
23,21600,4400,12.53
21,21600,10000,11.14
24,78996,20000,14.11
23,85000,20000,7.49
25,85000,20000,10.25
26,73000,20000,12.53
21,21816,1500,11.86
23,21840,9000,7.88
22,87000,20000,13.85
23,21996,6000,13.23
23,78000,20000,18.25
24,90000,20000,6.54
23,90000,20000,11.49
26,90000,20000,11.49
22,22000,7000,11.71
23,90000,20000,13.57
25,91229,20000,14.35
26,22000,3825,10.65
22,92000,20000,15.65
25,22000,5875,6.62
25,92407,20000,9.25
22,22000,2400,11.71
24,22000,8000,5.42
26,93492,20000,9.45
23,22000,1550,7.49
23,95000,20000,10.99
21,22000,7350,7.66
23,96000,20000,13.04
22,22000,7200,7.14
22,85200,20000,15.65
22,98000,20000,11.83
24,22000,3000,16.0
23,99000,20000,15.28
21,22000,4000,15.05
22,22000,8500,15.05
24,99996,20000,14.22
25,87996,20000,16.35
26,22000,7500,10.96
25,100000,20000,13.06
25,100000,20000,13.06
22,74800,20000,14.96
23,74800,20000,17.04
22,100000,20000,12.21
25,22260,6400,7.88
26,104000,20000,10.74
23,93000,20000,13.22
23,95000,20000,14.59
23,110000,20000,12.42
22,110000,20000,14.17
22,110000,20000,13.72
24,110000,20000,10.38
22,22800,2000,7.51
22,22800,7125,11.71
23,22800,3000,8.9
25,85000,20000,17.39
23,22800,4800,5.79
23,120000,20000,10.37
24,22800,4750,11.36
24,121000,20000,8.9
23,125000,20000,11.11
22,22800,3000,8.94
25,130000,20000,15.27
26,130000,20000,13.11
23,22884,6000,16.0
24,133000,20000,12.36
22,23000,10625,7.51
21,23000,7000,8.9
25,140000,20000,6.54
24,138000,20000,15.99
23,23000,3600,17.27
26,148000,20000,17.99
22,160000,20000,7.49
22,23000,4800,10.0
26,160000,20000,9.99
26,168000,20000,11.36
26,172500,20000,11.83
21,23000,3000,13.35
25,175000,20000,14.72
25,58000,19900,11.83
26,116000,19800,11.48
26,19500,500,11.41
21,19000,700,12.29
22,23000,7000,14.96
25,19000,750,12.29
22,10000,1000,14.74
22,23000,2400,9.63
21,23000,2400,12.21
22,11760,1000,13.98
25,12000,1000,10.65
21,12000,1000,13.98
22,12000,1000,13.57
22,12240,1000,14.96
21,14400,1000,16.29
23,23040,2000,11.11
22,14400,1000,16.69
21,23040,15000,8.94
22,15000,1000,14.3
21,16000,1000,15.65
22,16800,1000,13.48
24,19200,1000,12.53
23,39600,19000,10.62
22,39900,19000,12.18
25,47000,19000,11.99
25,50000,19000,10.99
24,23500,7000,10.38
26,47500,19000,16.7
23,54586,19000,11.14
26,62004,19000,7.49
22,70000,19000,8.88
23,72000,19000,10.99
24,73000,19000,10.62
23,78000,19000,8.9
25,23920,6000,14.59
26,96000,19000,13.22
24,105000,19000,12.29
24,175000,19000,11.48
26,55000,18800,6.99
22,70000,18750,10.38
22,36500,18725,6.54
22,43000,18550,11.83
24,24000,7100,12.42
24,34300,18500,10.71
21,36000,18500,10.91
22,38000,18500,7.66
25,55784,18500,13.61
23,74196,18500,11.26
25,75000,18500,7.49
24,73000,18500,7.9
22,24000,8000,9.91
21,24000,3000,7.9
24,78000,18500,15.33
26,145000,18500,12.87
22,24000,5000,7.9
22,48888,18400,13.16
22,50000,18400,9.99
23,120000,18400,8.9
22,24000,5000,14.65
25,24000,6000,13.49
22,34000,18250,10.25
24,35004,18250,11.49
25,34500,18250,17.04
23,42504,18250,10.25
22,24000,1300,5.42
22,36996,18250,14.61
24,45600,18250,13.35
23,46000,18250,10.75
25,46000,18250,14.26
25,55044,18250,17.56
22,50000,18250,16.7
23,50000,18225,10.74
26,44000,18225,14.91
24,36000,18200,8.88
25,36400,18200,9.91
22,36000,18200,11.71
24,55000,18200,10.99
23,27000,18000,11.54
23,24000,8000,15.62
23,33000,18000,9.91
21,30720,18000,13.48
23,39996,18000,9.25
25,40000,18000,13.11
22,24000,5000,10.99
25,42000,18000,6.17
24,24000,8000,5.99
24,24000,2400,7.49
24,42765,18000,11.03
24,43000,18000,7.9
22,44000,18000,13.57
24,44000,18000,12.18
25,39000,18000,17.19
22,46800,18000,15.23
24,42000,18000,14.46
24,24000,4200,6.99
24,43400,18000,16.63
24,50000,18000,12.42
24,50000,18000,7.9
23,24000,5000,15.99
26,50000,18000,13.11
22,50000,18000,13.79
22,24000,2500,10.59
22,24000,6000,12.68
25,52000,18000,12.98
22,52000,18000,13.85
25,52526,18000,12.21
22,46610,18000,10.71
24,48000,18000,6.54
23,24000,8000,5.79
25,55000,18000,12.84
25,55344,18000,10.99
23,24000,1375,11.11
24,56000,18000,13.48
21,50000,18000,14.74
21,52240,18000,19.69
26,53000,18000,17.19
22,60000,18000,16.32
22,60000,18000,9.33
25,61500,18000,13.23
26,24000,5000,7.66
22,62000,18000,13.85
23,24000,5600,9.63
24,24000,10000,6.92
22,63000,18000,9.63
23,63000,18000,10.99
23,63000,18000,13.57
25,65000,18000,13.99
24,59000,18000,14.96
26,59000,18000,16.0
26,60000,18000,16.29
25,66000,18000,10.25
21,68000,18000,10.65
24,70000,18000,9.88
25,54400,18000,16.0
25,70200,18000,16.45
25,65000,18000,15.33
26,71820,18000,11.83
24,66000,18000,14.54
24,72000,18000,7.88
24,24000,3000,13.98
25,24000,1200,15.21
23,75000,18000,12.73
25,24000,3500,15.58
23,75576,18000,9.88
21,24000,7000,11.86
26,78000,18000,13.49
21,80000,18000,7.9
23,80000,18000,8.49
22,80000,18000,10.99
26,80171,18000,13.85
23,81000,18000,13.98
23,24000,2800,16.07
23,76500,18000,10.65
24,24000,8500,15.7
26,24000,2100,13.11
22,82570,18000,15.27
26,24000,6000,10.99
25,84000,18000,9.88
22,24000,2500,7.14
25,85000,18000,11.71
26,86000,18000,8.49
23,87000,18000,11.89
23,88000,18000,13.16
23,90000,18000,8.88
24,95000,18000,8.49
26,95000,18000,15.31
24,102000,18000,12.53
24,110000,18000,12.18
23,87550,18000,7.51
26,116004,18000,11.83
24,121000,18000,18.3
22,125000,18000,14.79
25,24000,5000,10.95
22,144500,18000,13.72
24,155000,18000,10.62
22,24000,5000,12.21
21,75000,17950,10.91
25,24000,7000,9.63
23,62050,17800,16.35
23,24000,1500,12.21
22,48000,17750,13.49
22,65000,17700,11.49
26,24000,8000,9.76
24,24000,8000,11.34
22,24000,3975,13.87
23,45000,17625,8.9
22,65500,17600,10.74
24,70000,17600,10.62
21,24000,5000,8.7
23,24091,3500,12.99
24,72250,17600,17.19
25,32400,17500,15.95
23,36000,17500,14.22
21,37232,17500,12.53
21,24300,4500,11.83
21,24396,4000,15.05
24,40800,17500,10.62
22,24449,1800,11.89
25,44000,17500,12.53
23,47500,17500,13.61
22,49176,17500,13.85
23,49270,17500,13.85
23,53352,17500,6.54
24,54996,17500,17.19
24,58000,17500,13.49
23,59000,17500,9.25
26,60000,17500,6.54
26,75000,17500,7.9
22,24900,5500,13.16
25,95950,17500,11.71
21,24960,2000,13.99
23,40000,17475,9.91
21,45408,17475,9.91
23,24996,5000,12.69
22,58000,17475,7.51
24,82000,17400,11.99
24,96000,17400,10.37
24,133000,17400,11.71
24,95000,17200,17.58
23,35000,17000,10.37
26,29400,17000,12.99
21,24996,7000,15.58
22,40000,17000,10.65
22,41400,17000,12.87
22,42000,17000,7.66
24,43275,17000,13.47
24,45792,17000,10.38
23,47000,17000,9.99
25,49896,17000,16.82
24,50000,17000,13.79
23,24996,8000,11.26
23,51000,17000,8.49
25,52000,17000,12.98
21,24996,6500,11.34
23,52000,17000,11.58
23,54660,17000,9.88
24,55782,17000,7.51
23,53000,17000,10.25
22,25000,2400,14.27
23,60000,17000,11.11
25,60000,17000,6.91
25,62000,17000,5.99
26,65000,17000,13.47
23,70000,17000,8.88
24,75000,17000,12.53
24,75000,17000,9.33
23,78000,17000,10.99
21,25000,3600,9.91
23,85500,17000,13.11
22,89004,17000,9.63
26,66300,17000,16.77
23,90000,17000,10.59
26,95000,17000,11.49
22,96000,17000,11.48
25,114000,17000,10.37
26,175000,17000,9.88
21,49000,16950,18.25
24,72000,16875,6.54
26,25000,7000,6.99
23,25000,7200,8.49
22,34819,16800,10.99
22,50000,16800,12.53
22,25000,1800,8.49
22,60000,16800,14.65
24,60000,16800,6.54
23,60000,16800,13.85
26,54000,16800,12.67
22,25000,3000,9.99
22,66000,16800,13.49
22,58650,16800,16.77
24,74000,16800,15.65
26,97000,16800,12.42
26,97000,16800,6.17
23,103000,16800,13.11
24,125000,16800,12.42
25,25000,2000,14.17
23,36000,16750,15.28
22,44500,16750,10.75
26,45000,16750,12.41
23,46272,16750,11.99
24,25000,4000,11.11
26,42000,16750,17.58
22,50496,16750,13.11
24,54000,16750,20.11
23,54996,16700,10.37
25,59160,16600,14.18
26,70000,16525,13.92
25,98400,16525,15.28
22,40428,16500,10.75
23,47000,16500,10.62
22,48000,16500,8.9
25,25000,1500,6.76
25,56000,16500,12.8
25,57504,16500,9.32
24,25000,9000,7.14
26,25000,11500,7.88
25,25000,3000,6.76
26,83300,16500,16.77
24,45000,16425,13.49
24,61000,16400,10.99
26,47000,16250,12.42
21,25000,1000,7.51
22,54000,16075,10.37
25,39000,16050,17.14
23,30000,16000,13.23
22,33000,16000,10.99
26,35000,16000,6.03
26,25000,6250,15.31
24,35000,16000,11.71
23,25000,4750,13.57
22,36900,16000,7.9
25,38000,16000,12.87
25,39000,16000,15.65
24,39996,16000,10.71
22,25000,6000,11.89
25,25000,4800,12.53
25,40000,16000,11.71
23,40000,16000,12.99
22,40000,16000,8.88
21,40000,16000,11.83
22,34000,16000,13.24
21,41900,16000,12.84
24,42494,16000,11.71
23,25000,5000,9.32
22,25000,11100,9.63
24,42856,16000,8.9
25,43000,16000,11.49
25,25000,1525,10.95
24,25000,7000,9.32
23,44000,16000,8.49
24,44000,16000,7.49
26,25000,12000,12.09
22,38400,16000,11.54
24,25000,10000,8.0
24,39000,16000,19.91
22,45000,16000,10.59
21,25000,8800,9.33
24,39000,16000,13.06
24,25040,5000,5.79
22,25062,4000,16.49
23,25100,10800,14.59
26,25104,5400,16.49
23,39000,16000,11.36
25,39000,16000,14.11
22,25200,7000,6.03
23,48000,16000,10.0
22,42000,16000,16.0
25,50000,16000,17.58
24,25200,3200,15.23
24,50000,16000,13.99
25,25200,1200,15.99
24,50000,16000,10.62
22,44000,16000,16.35
24,51000,16000,13.85
23,45000,16000,16.45
21,52000,16000,15.7
22,53000,16000,7.9
22,25200,4000,12.73
21,55000,16000,8.94
21,25200,6500,14.26
22,25200,7000,13.92
25,52000,16000,13.98
23,25200,1000,11.48
22,25200,1000,11.48
22,52500,16000,12.69
26,60000,16000,7.49
24,54000,16000,15.65
26,54000,16000,14.83
24,25344,4000,16.49
23,62000,16000,7.49
23,25480,5000,9.99
23,25500,7850,13.49
22,25500,7000,6.99
22,57175,16000,17.15
26,25500,5600,11.91
22,57336,16000,17.27
25,25568,12000,13.47
23,64000,16000,10.74
24,58575,16000,19.47
22,64800,16000,10.37
21,65000,16000,9.91
24,25632,1500,9.91
22,65000,16000,8.49
22,25788,3500,12.18
22,65000,16000,7.88
24,59000,16000,16.45
23,65000,16000,14.59
22,25920,11325,10.65
22,65000,16000,13.47
22,59000,16000,16.32
25,66000,16000,10.0
22,25992,3000,9.45
23,60996,16000,16.0
23,62500,16000,14.54
23,63000,16000,14.42
25,26000,3825,11.71
20,64000,16000,15.31
24,72000,16000,13.06
26,74000,16000,14.84
24,74337,16000,11.86
26,74999,16000,17.27
26,26000,7000,10.99
23,26000,7800,10.59
26,75000,16000,13.35
23,26000,5000,7.91
